Id;Laguna;Codigo;Fecha;Elevacion;Latitud;Longitud;Temperatura;Secchi;O2;pH;Conductividad;Turbidez;Nk;Nk_filt;Seston;MO;%MO/ses;Ccpt;Ccpt_filt;Ppart;%Ppart;Chl-a;Doc;Pcy_uni_c;Pcy_div_c;Pcy_fil_c;Pcy agr_c;Pcy_uni_o;Pcy_div_o;Pcy_fil_o;Pcy agr_o;Peu;Bact_Fil2;Bact_Fil1;Bacterias
34;Epecuén;EP (34);27/10/15;97;-37.132779472247854;-62.81375169754028;20;;11;9,02;202,1;2,81;4177,6;3662,4;788,4;27,5;0,034880771;4,4638995;4,1396241;0,3242754;0,072643974;5,057024;1010;86623,81632;0;0;0;86623,81632;0;0;0;0;;;9744754,979
35;Los Patos;PA (35);28/10/15;177;-37.3460743790891;-62.938828468322754;18;48;7;9,28;9,91;18,1;6798,4;5264;59,2;30,9;0,521959459;4,5379624;3,5771464;0,960816;0,211728506;12,64256;437,4;664830,138;66115,70433;36730,94685;0;664830,138;33057,85217;3673,094685;0;47750,23091;41887,902;390953,752;20711240,43
36;La Cortada;CT (36);28/01/15;180;-37.475556280803985;-62.92445182800293;17;40;8;8,89;2,59;21,5;3494,4;3057,6;20;12,5;0,625;2,2340057;1,9617745;0,2722312;0,121857881;7,585536;99,72;2904227,872;27925,268;0;0;2904227,872;13962,634;0;0;918,2736713;147681,7058;2899931,677;17587548,6
37;Puán;PU(37);28/10/15;216;-37.550472212751885;-62.774789929389954;15;74;9,5;9,4;8,09;16,5;4894,4;4267,2;30;16,7;0,556666667;2,1639462;2,031834;0,1321122;0,061051518;7,585536;539;1242674,426;195476,876;0;0;1242674,426;97738,438;0;0;77134,98839;0;376991,118;18291050,54
38;Alsina;AL (38);28/10/15;128;-36.88094221794528;-62.22230315208435;19;18;8;8,99;1,106;99,1;5118,4;2856;82,5;30;0,363636364;0,290355;0,0461476;0,2442074;0,841064903;17,699584;8,698;2555660,688;972397,725;2804993,438;635798,5125;2555660,688;486198,8625;423865,675;74799,825;1115,046601;336599,2125;1533396,413;19073955,38
39;Blanca Grande;BG (39);28/10/15;94;-36.47755055553891;-60.89700222015381;20;12;7;8,8;1,628;218;4088;3796,8;180;54,3;0,301666667;0,19027;0,0461476;0,1441224;0,757462553;20,228096;13,12;698131,7;284837,7336;698131,7;1128180,827;698131,7;142418,8668;125663,706;75398,2236;16755,1608;418879,02;474729,556;6312274,121
40;Lobos;LO(40);29/10/15;41;-35.27822502196786;-59.13393259048462;20;22;6;8,87;2,53;98,9;4883,2;3035,2;71,7;29,2;0,407252441;0,370423;0,2863516;0,0840714;0,226960529;80,912384;13,51;797061,5467;227731,8705;0;235078,0598;797061,5467;113865,9352;0;36730,94685;0;;;66904287,92
41;Rocha;RC (41);24/11/15;12;-34.6949278;-60.67966666666666;24;10;10,8;8,6;2,8;225;5174,4;4491,2;305;79;0,259016393;0,6466576;0,5826032;0,0640544;0,099054585;92,71210667;18,81;1355371,939;378328,7526;0;457300,2883;1355371,939;189164,3763;0;25711,6628;0;;;437786753,5
42;Mar Chiquita(Junin);MA1(42);24/11/15;8;-34.4846833;-61.11708333333333;25;12;9;8,58;3,33;162;3976;3640;169;47;0,278106509;0,9148854;0,7567511;0,1581343;0,17284602;30,342144;19,99;450528,02;117653,8141;0;86088,15668;450528,02;58826,90707;0;17217,63134;28696,05223;;;76794487
43;Gómez;GO(43);24/11/15;78;-34.6598667;-61.029380555555555;22;10;10;8,78;3,33;163;5096;3236,8;182;65;0,357142857;0,7747664;0,650661;0,1241054;0,160184283;55,627264;20,17;1138342,706;227985,1874;0;259649,7967;1138342,706;113992,5937;0;18998,76561;0;;;109083078,1
44;Carpincho;CA(44);24/11/15;69;-34.5777139;-60.906977777777776;24,2;12;11,2;8,71;3,31;240;7280;5499,2;270;79;0,292592593;0,650661;0,6146304;0,0360306;0,05537538;48,041728;21,33;1730027,597;701561,0849;0;323232,3323;1730027,597;350780,5424;0;71625,34636;38567,49419;;;54938204,8
45;Azotea;AZ(45);25/11/15;79;-35.0659806;-61.01965833333333;23;29;5;8,62;1,377;24;5275,2;4782,4;24;17;0,708333333;0,4785148;0,4544944;0,0240204;0,05019782;60,684288;47,79;512396,7086;202020,2077;0;154269,9768;512396,7086;101010,1038;0;29384,75748;38567,49419;;;54396094,96
46;Bragado;BR(46;25/11/15;40;-35.088325;-60.473372222222224;26;10;8,8;8,52;5,38;179;4480;3964,8;216;64;0,296296296;0,690695;0,5025352;0,1881598;0,272420967;55,627264;27,44;1505968,821;382001,8472;0;861340,7037;1505968,821;191000,9236;0;67952,25167;126721,7666;;;57072266,48
47;Cuero de Zorro;ZO(47);01/12/15;35;-35.794772695473824;-62.914581298828125;27;22;10,4;8,98;3,14;50;5051,2;3976;65;44;0,676923077;0,1622462;0,0021102;0,160136;0,98699384;212,8164267;11,37;1386593,244;936639,1447;0;587695,1496;1386593,244;468319,5723;0;45913,68356;45913,68356;;;115499729,8
48;Los Quilmes;QU(48);01/12/15;93;-35.88049668344393;-62.872910499572754;26;40;8,5;8,53;12,46;23;6720;5992;57;20;0,350877193;0,490525;0,4544944;0,0360306;0,073453137;17,12862968;55,77;639190,4967;54016,09831;0;31509,39068;639190,4967;27008,04916;0;4501,341526;409622,0789;;;122796379,4
49;Hinojo Grande;HG(49);01/12/15;92;-35.94994022299046;-62.4627685546875;28;26;14;8,85;7,05;38;5208;3102,4;87;39;0,448275862;0,3824332;0,0981918;0,2842414;0,743244572;189,6384;19,05;1269054,214;727272,7476;0;378328,7526;1269054,214;363636,3738;0;36730,94685;51423,32559;;;67195176,13
50;Pehuajó;PE(50);02/12/15;77;-35.77817994598441;-61.91065192222595;25;7;;9,32;17,97;257;10830,4;7235,2;628;344;0,547770701;1,3272356;0,2943584;1,0328772;0,778216919;981,062656;128,8;3825761,716;2839999,756;0;1415811,088;3825761,716;1419999,878;0;62831,853;0;;;18907733,54
51;Indio Muerto;IM(51);02/12/15;41;-35.47617106496969;-59.70985651016235;30;22;7;8,28;2,48;43;3584;2564,8;48;20;0,416666667;0,2222972;0,1782598;0,0440374;0,198101461;67,42698667;17,78;603210,8082;297647,3279;85494,44526;145657,203;603210,8082;148823,664;4749,691403;20581,99608;7916,152339;;;143020035,8
52;Monte;MT(52);02/12/15;27;-35.44771802733707;-58.81305456161499;27;13;7,5;8,79;1,31;89;3091,2;2161,6;90;28;0,311111111;0,4985318;0,3383958;0,160136;0,321215216;40,03477333;14,67;1364734,872;1342214,494;216195,6232;5485963,939;1364734,872;671107,2471;27024,4529;252228,2271;67561,13226;;;24593275,8
